表章項目_code,表章項目,出入国者_code,出入国者,入国・出国_code,入国・出国,港_code,港,時間軸(年次)_code,時間軸(年次),unit,value
140,出入国者,100,計,100,総数,50000,総数,2024000000,2024年,人,99345885
140,出入国者,100,計,100,総数,50000,総数,2023000000,2023年,人,70518341
140,出入国者,100,計,100,総数,50000,総数,2022000000,2022年,人,13526174
140,出入国者,100,計,100,総数,50000,総数,2021000000,2021年,人,1989263
140,出入国者,100,計,100,総数,50000,総数,2020000000,2020年,人,15956017
140,出入国者,100,計,100,総数,50000,総数,2019000000,2019年,人,102639127
140,出入国者,100,計,100,総数,50000,総数,2018000000,2018年,人,98196043
140,出入国者,100,計,100,総数,50000,総数,2017000000,2017年,人,90721860
140,出入国者,100,計,100,総数,50000,総数,2016000000,2016年,人,80774940
140,出入国者,100,計,100,総数,50000,総数,2015000000,2015年,人,71942963
140,出入国者,100,計,100,総数,50000,総数,2014000000,2014年,人,62233373
140,出入国者,100,計,100,総数,50000,総数,2013000000,2013年,人,57568798
140,出入国者,100,計,100,総数,50000,総数,2012000000,2012年,人,55441070
140,出入国者,100,計,100,総数,50000,総数,2011000000,2011年,人,48530738
140,出入国者,100,計,100,総数,50000,総数,2010000000,2010年,人,52426203
140,出入国者,100,計,100,総数,50000,総数,2009000000,2009年,人,46340290
140,出入国者,100,計,100,総数,50000,総数,2008000000,2008年,人,50407129
140,出入国者,100,計,100,総数,50000,総数,2007000000,2007年,人,52965394
140,出入国者,100,計,100,総数,50000,総数,2006000000,2006年,人,51380493
140,出入国者,100,計,100,総数,50000,総数,2005000000,2005年,人,49803437
140,出入国者,100,計,100,総数,50000,総数,2004000000,2004年,人,47348469
140,出入国者,100,計,100,総数,50000,総数,2003000000,2003年,人,38205567
140,出入国者,100,計,100,総数,50000,総数,2002000000,2002年,人,44651272
140,出入国者,100,計,100,総数,50000,総数,2001000000,2001年,人,43176983
140,出入国者,100,計,100,総数,50000,総数,2000000000,2000年,人,46131092
140,出入国者,100,計,100,総数,50000,総数,1999000000,1999年,人,42773321
140,出入国者,100,計,100,総数,50000,総数,1998000000,1998年,人,40898735
140,出入国者,100,計,100,総数,50000,総数,1997000000,1997年,人,43068787
140,出入国者,100,計,100,総数,50130,釧路,2024000000,2024年,人,8303
140,出入国者,100,計,100,総数,50130,釧路,2023000000,2023年,人,4753
140,出入国者,100,計,100,総数,50130,釧路,2022000000,2022年,人,2
140,出入国者,100,計,100,総数,50130,釧路,2021000000,2021年,人,2
140,出入国者,100,計,100,総数,50130,釧路,2020000000,2020年,人,10
140,出入国者,100,計,100,総数,50130,釧路,2019000000,2019年,人,12656
140,出入国者,100,計,100,総数,50130,釧路,2018000000,2018年,人,13124
140,出入国者,100,計,100,総数,50130,釧路,2017000000,2017年,人,18374
140,出入国者,100,計,100,総数,50130,釧路,2016000000,2016年,人,20458
140,出入国者,100,計,100,総数,50130,釧路,2015000000,2015年,人,10076
140,出入国者,100,計,100,総数,50130,釧路,2014000000,2014年,人,18657
140,出入国者,100,計,100,総数,50130,釧路,2013000000,2013年,人,6119
140,出入国者,100,計,100,総数,50130,釧路,2012000000,2012年,人,331
140,出入国者,100,計,100,総数,50130,釧路,2011000000,2011年,人,16
140,出入国者,100,計,100,総数,50130,釧路,2010000000,2010年,人,270
140,出入国者,100,計,100,総数,50130,釧路,2009000000,2009年,人,248
140,出入国者,100,計,100,総数,50130,釧路,2008000000,2008年,人,239
140,出入国者,100,計,100,総数,50130,釧路,2007000000,2007年,人,929
140,出入国者,100,計,100,総数,50130,釧路,2006000000,2006年,人,1162
140,出入国者,100,計,100,総数,50140,稚内,2024000000,2024年,人,142
140,出入国者,100,計,100,総数,50140,稚内,2023000000,2023年,人,115
140,出入国者,100,計,100,総数,50140,稚内,2022000000,2022年,人,9
140,出入国者,100,計,100,総数,50140,稚内,2021000000,2021年,人,99
140,出入国者,100,計,100,総数,50140,稚内,2020000000,2020年,人,11
140,出入国者,100,計,100,総数,50140,稚内,2019000000,2019年,人,280
140,出入国者,100,計,100,総数,50140,稚内,2018000000,2018年,人,839
140,出入国者,100,計,100,総数,50140,稚内,2017000000,2017年,人,1785
140,出入国者,100,計,100,総数,50140,稚内,2016000000,2016年,人,896
140,出入国者,100,計,100,総数,50140,稚内,2015000000,2015年,人,4266
140,出入国者,100,計,100,総数,50140,稚内,2014000000,2014年,人,4226
140,出入国者,100,計,100,総数,50140,稚内,2013000000,2013年,人,4474
140,出入国者,100,計,100,総数,50140,稚内,2012000000,2012年,人,3766
140,出入国者,100,計,100,総数,50140,稚内,2011000000,2011年,人,3394
140,出入国者,100,計,100,総数,50140,稚内,2010000000,2010年,人,4033
140,出入国者,100,計,100,総数,50140,稚内,2009000000,2009年,人,3925
140,出入国者,100,計,100,総数,50140,稚内,2008000000,2008年,人,4900
140,出入国者,100,計,100,総数,50140,稚内,2007000000,2007年,人,4203
140,出入国者,100,計,100,総数,50140,稚内,2006000000,2006年,人,5933
140,出入国者,100,計,100,総数,50145,沓形,2018000000,2018年,人,386
140,出入国者,100,計,100,総数,50145,沓形,2017000000,2017年,人,353
140,出入国者,100,計,100,総数,50145,沓形,2015000000,2015年,人,347
140,出入国者,100,計,100,総数,50145,沓形,2014000000,2014年,人,107
140,出入国者,100,計,100,総数,50145,沓形,2013000000,2013年,人,92
140,出入国者,100,計,100,総数,50150,根室,2019000000,2019年,人,718
140,出入国者,100,計,100,総数,50150,根室,2018000000,2018年,人,739
140,出入国者,100,計,100,総数,50150,根室,2017000000,2017年,人,766
140,出入国者,100,計,100,総数,50150,根室,2016000000,2016年,人,560
140,出入国者,100,計,100,総数,50150,根室,2015000000,2015年,人,598
140,出入国者,100,計,100,総数,50150,根室,2014000000,2014年,人,676
140,出入国者,100,計,100,総数,50150,根室,2013000000,2013年,人,652
140,出入国者,100,計,100,総数,50150,根室,2012000000,2012年,人,700
140,出入国者,100,計,100,総数,50150,根室,2011000000,2011年,人,681
140,出入国者,100,計,100,総数,50150,根室,2010000000,2010年,人,699
140,出入国者,100,計,100,総数,50150,根室,2009000000,2009年,人,700
140,出入国者,100,計,100,総数,50150,根室,2008000000,2008年,人,736
140,出入国者,100,計,100,総数,50150,根室,2007000000,2007年,人,628
140,出入国者,100,計,100,総数,50150,根室,2006000000,2006年,人,758
140,出入国者,100,計,100,総数,50160,小樽,2024000000,2024年,人,21663
140,出入国者,100,計,100,総数,50160,小樽,2023000000,2023年,人,11586
140,出入国者,100,計,100,総数,50160,小樽,2022000000,2022年,人,77
140,出入国者,100,計,100,総数,50160,小樽,2021000000,2021年,人,12
140,出入国者,100,計,100,総数,50160,小樽,2020000000,2020年,人,28
140,出入国者,100,計,100,総数,50160,小樽,2019000000,2019年,人,18850
140,出入国者,100,計,100,総数,50160,小樽,2018000000,2018年,人,15883
140,出入国者,100,計,100,総数,50160,小樽,2017000000,2017年,人,20621
140,出入国者,100,計,100,総数,50160,小樽,2016000000,2016年,人,22947
140,出入国者,100,計,100,総数,50160,小樽,2015000000,2015年,人,11414
140,出入国者,100,計,100,総数,50160,小樽,2014000000,2014年,人,35110
140,出入国者,100,計,100,総数,50160,小樽,2013000000,2013年,人,6757
140,出入国者,100,計,100,総数,50160,小樽,2012000000,2012年,人,5402
140,出入国者,100,計,100,総数,50160,小樽,2011000000,2011年,人,1498
140,出入国者,100,計,100,総数,50160,小樽,2010000000,2010年,人,4362
140,出入国者,100,計,100,総数,50160,小樽,2009000000,2009年,人,2475
140,出入国者,100,計,100,総数,50160,小樽,2008000000,2008年,人,3723
140,出入国者,100,計,100,総数,50160,小樽,2007000000,2007年,人,5389
140,出入国者,100,計,100,総数,50160,小樽,2006000000,2006年,人,7328
140,出入国者,100,計,100,総数,50170,室蘭,2024000000,2024年,人,7408
