表章項目_code,表章項目,国籍・地域_code,国籍・地域,港_code,港,時間軸(年次)_code,時間軸(年次),unit,value
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2024000000,2024年,人,1256518
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2023000000,2023年,人,166460
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2022000000,2022年,人,0
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2021000000,2021年,人,0
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2020000000,2020年,人,119960
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2019000000,2019年,人,2026307
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2018000000,2018年,人,2337803
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2017000000,2017年,人,2449299
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2016000000,2016年,人,1936469
420,船舶観光上陸許可を受けた外国人,50000,総数,50130,釧路,2019000000,2019年,人,11
420,船舶観光上陸許可を受けた外国人,50000,総数,50130,釧路,2018000000,2018年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2024000000,2024年,人,3617
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2023000000,2023年,人,2109
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2019000000,2019年,人,2680
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2018000000,2018年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2017000000,2017年,人,2700
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2016000000,2016年,人,1988
420,船舶観光上陸許可を受けた外国人,50000,総数,50170,室蘭,2023000000,2023年,人,1981
420,船舶観光上陸許可を受けた外国人,50000,総数,50170,室蘭,2018000000,2018年,人,2997
420,船舶観光上陸許可を受けた外国人,50000,総数,50170,室蘭,2016000000,2016年,人,9181
420,船舶観光上陸許可を受けた外国人,50000,総数,50180,函館,2024000000,2024年,人,1653
420,船舶観光上陸許可を受けた外国人,50000,総数,50180,函館,2019000000,2019年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,50180,函館,2017000000,2017年,人,550
420,船舶観光上陸許可を受けた外国人,50000,総数,50180,函館,2016000000,2016年,人,1736
420,船舶観光上陸許可を受けた外国人,50000,総数,50320,青森,2018000000,2018年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50320,青森,2017000000,2017年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50380,秋田船川,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50580,東京,2023000000,2023年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50580,東京,2019000000,2019年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,50580,東京,2018000000,2018年,人,4
420,船舶観光上陸許可を受けた外国人,50000,総数,50580,東京,2016000000,2016年,人,844
420,船舶観光上陸許可を受けた外国人,50000,総数,50600,新潟,2024000000,2024年,人,2016
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2023000000,2023年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2019000000,2019年,人,6108
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2018000000,2018年,人,33
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2017000000,2017年,人,3451
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2016000000,2016年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50850,清水,2024000000,2024年,人,220
420,船舶観光上陸許可を受けた外国人,50000,総数,50980,名古屋,2016000000,2016年,人,4
420,船舶観光上陸許可を受けた外国人,50000,総数,51090,金沢,2024000000,2024年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,51090,金沢,2019000000,2019年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,51090,金沢,2018000000,2018年,人,5683
420,船舶観光上陸許可を受けた外国人,50000,総数,51090,金沢,2017000000,2017年,人,2027
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2024000000,2024年,人,4115
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2019000000,2019年,人,43099
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2018000000,2018年,人,26845
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2017000000,2017年,人,31509
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2016000000,2016年,人,2357
420,船舶観光上陸許可を受けた外国人,50000,総数,51280,舞鶴,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,51280,舞鶴,2019000000,2019年,人,15367
420,船舶観光上陸許可を受けた外国人,50000,総数,51280,舞鶴,2017000000,2017年,人,1642
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2024000000,2024年,人,16858
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2020000000,2020年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2019000000,2019年,人,10630
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2018000000,2018年,人,6263
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2017000000,2017年,人,8521
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2016000000,2016年,人,6936
420,船舶観光上陸許可を受けた外国人,50000,総数,51530,高知,2019000000,2019年,人,2071
420,船舶観光上陸許可を受けた外国人,50000,総数,51530,高知,2018000000,2018年,人,14940
420,船舶観光上陸許可を受けた外国人,50000,総数,51530,高知,2017000000,2017年,人,33153
420,船舶観光上陸許可を受けた外国人,50000,総数,51530,高知,2016000000,2016年,人,29228
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2023000000,2023年,人,654
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2018000000,2018年,人,14016
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2017000000,2017年,人,28430
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2016000000,2016年,人,19147
420,船舶観光上陸許可を受けた外国人,50000,総数,51880,境,2024000000,2024年,人,4613
