表章項目_code,表章項目,人口及び人口増減_code,人口及び人口増減,男女別_code,男女別,人口_code,人口,全国・都道府県_code,全国・都道府県,時間軸（年間）_code,時間軸（年間）,unit,value
008,人口,204,人口,000,男女計,001,総人口,00000,全国,2023001001,2023年10月1日現在,人,124351877
008,人口,204,人口,000,男女計,001,総人口,00000,全国,2024001001,2024年10月1日現在,人,123801750
008,人口,204,人口,000,男女計,001,総人口,01000,北海道,2023001001,2023年10月1日現在,人,5092453
008,人口,204,人口,000,男女計,001,総人口,01000,北海道,2024001001,2024年10月1日現在,人,5042990
008,人口,204,人口,000,男女計,001,総人口,02000,青森県,2023001001,2023年10月1日現在,人,1184374
008,人口,204,人口,000,男女計,001,総人口,02000,青森県,2024001001,2024年10月1日現在,人,1164684
008,人口,204,人口,000,男女計,001,総人口,03000,岩手県,2023001001,2023年10月1日現在,人,1163212
008,人口,204,人口,000,男女計,001,総人口,03000,岩手県,2024001001,2024年10月1日現在,人,1144960
008,人口,204,人口,000,男女計,001,総人口,04000,宮城県,2023001001,2023年10月1日現在,人,2264433
008,人口,204,人口,000,男女計,001,総人口,04000,宮城県,2024001001,2024年10月1日現在,人,2247907
008,人口,204,人口,000,男女計,001,総人口,05000,秋田県,2023001001,2023年10月1日現在,人,913601
008,人口,204,人口,000,男女計,001,総人口,05000,秋田県,2024001001,2024年10月1日現在,人,896535
008,人口,204,人口,000,男女計,001,総人口,06000,山形県,2023001001,2023年10月1日現在,人,1026207
008,人口,204,人口,000,男女計,001,総人口,06000,山形県,2024001001,2024年10月1日現在,人,1010908
008,人口,204,人口,000,男女計,001,総人口,07000,福島県,2023001001,2023年10月1日現在,人,1766645
008,人口,204,人口,000,男女計,001,総人口,07000,福島県,2024001001,2024年10月1日現在,人,1742852
008,人口,204,人口,000,男女計,001,総人口,08000,茨城県,2023001001,2023年10月1日現在,人,2824595
008,人口,204,人口,000,男女計,001,総人口,08000,茨城県,2024001001,2024年10月1日現在,人,2806378
008,人口,204,人口,000,男女計,001,総人口,09000,栃木県,2023001001,2023年10月1日現在,人,1897415
008,人口,204,人口,000,男女計,001,総人口,09000,栃木県,2024001001,2024年10月1日現在,人,1884817
008,人口,204,人口,000,男女計,001,総人口,10000,群馬県,2023001001,2023年10月1日現在,人,1901772
008,人口,204,人口,000,男女計,001,総人口,10000,群馬県,2024001001,2024年10月1日現在,人,1889899
008,人口,204,人口,000,男女計,001,総人口,11000,埼玉県,2023001001,2023年10月1日現在,人,7331377
008,人口,204,人口,000,男女計,001,総人口,11000,埼玉県,2024001001,2024年10月1日現在,人,7331746
008,人口,204,人口,000,男女計,001,総人口,12000,千葉県,2023001001,2023年10月1日現在,人,6256665
008,人口,204,人口,000,男女計,001,総人口,12000,千葉県,2024001001,2024年10月1日現在,人,6251465
008,人口,204,人口,000,男女計,001,総人口,13000,東京都,2023001001,2023年10月1日現在,人,14085890
008,人口,204,人口,000,男女計,001,総人口,13000,東京都,2024001001,2024年10月1日現在,人,14178273
008,人口,204,人口,000,男女計,001,総人口,14000,神奈川県,2023001001,2023年10月1日現在,人,9228870
008,人口,204,人口,000,男女計,001,総人口,14000,神奈川県,2024001001,2024年10月1日現在,人,9224514
008,人口,204,人口,000,男女計,001,総人口,15000,新潟県,2023001001,2023年10月1日現在,人,2126345
008,人口,204,人口,000,男女計,001,総人口,15000,新潟県,2024001001,2024年10月1日現在,人,2098912
008,人口,204,人口,000,男女計,001,総人口,16000,富山県,2023001001,2023年10月1日現在,人,1006739
008,人口,204,人口,000,男女計,001,総人口,16000,富山県,2024001001,2024年10月1日現在,人,996653
008,人口,204,人口,000,男女計,001,総人口,17000,石川県,2023001001,2023年10月1日現在,人,1108957
008,人口,204,人口,000,男女計,001,総人口,17000,石川県,2024001001,2024年10月1日現在,人,1097873
008,人口,204,人口,000,男女計,001,総人口,18000,福井県,2023001001,2023年10月1日現在,人,744405
008,人口,204,人口,000,男女計,001,総人口,18000,福井県,2024001001,2024年10月1日現在,人,738708
008,人口,204,人口,000,男女計,001,総人口,19000,山梨県,2023001001,2023年10月1日現在,人,795843
008,人口,204,人口,000,男女計,001,総人口,19000,山梨県,2024001001,2024年10月1日現在,人,790820
008,人口,204,人口,000,男女計,001,総人口,20000,長野県,2023001001,2023年10月1日現在,人,2003918
008,人口,204,人口,000,男女計,001,総人口,20000,長野県,2024001001,2024年10月1日現在,人,1987036
008,人口,204,人口,000,男女計,001,総人口,21000,岐阜県,2023001001,2023年10月1日現在,人,1931212
008,人口,204,人口,000,男女計,001,総人口,21000,岐阜県,2024001001,2024年10月1日現在,人,1915624
008,人口,204,人口,000,男女計,001,総人口,22000,静岡県,2023001001,2023年10月1日現在,人,3555288
008,人口,204,人口,000,男女計,001,総人口,22000,静岡県,2024001001,2024年10月1日現在,人,3526958
008,人口,204,人口,000,男女計,001,総人口,23000,愛知県,2023001001,2023年10月1日現在,人,7476692
008,人口,204,人口,000,男女計,001,総人口,23000,愛知県,2024001001,2024年10月1日現在,人,7459745
008,人口,204,人口,000,男女計,001,総人口,24000,三重県,2023001001,2023年10月1日現在,人,1726812
008,人口,204,人口,000,男女計,001,総人口,24000,三重県,2024001001,2024年10月1日現在,人,1710563
008,人口,204,人口,000,男女計,001,総人口,25000,滋賀県,2023001001,2023年10月1日現在,人,1406630
008,人口,204,人口,000,男女計,001,総人口,25000,滋賀県,2024001001,2024年10月1日現在,人,1402193
008,人口,204,人口,000,男女計,001,総人口,26000,京都府,2023001001,2023年10月1日現在,人,2535224
008,人口,204,人口,000,男女計,001,総人口,26000,京都府,2024001001,2024年10月1日現在,人,2520101
008,人口,204,人口,000,男女計,001,総人口,27000,大阪府,2023001001,2023年10月1日現在,人,8762857
008,人口,204,人口,000,男女計,001,総人口,27000,大阪府,2024001001,2024年10月1日現在,人,8756875
008,人口,204,人口,000,男女計,001,総人口,28000,兵庫県,2023001001,2023年10月1日現在,人,5369888
008,人口,204,人口,000,男女計,001,総人口,28000,兵庫県,2024001001,2024年10月1日現在,人,5337199
008,人口,204,人口,000,男女計,001,総人口,29000,奈良県,2023001001,2023年10月1日現在,人,1295525
008,人口,204,人口,000,男女計,001,総人口,29000,奈良県,2024001001,2024年10月1日現在,人,1285224
008,人口,204,人口,000,男女計,001,総人口,30000,和歌山県,2023001001,2023年10月1日現在,人,891820
008,人口,204,人口,000,男女計,001,総人口,30000,和歌山県,2024001001,2024年10月1日現在,人,879831
008,人口,204,人口,000,男女計,001,総人口,31000,鳥取県,2023001001,2023年10月1日現在,人,537426
008,人口,204,人口,000,男女計,001,総人口,31000,鳥取県,2024001001,2024年10月1日現在,人,531213
008,人口,204,人口,000,男女計,001,総人口,32000,島根県,2023001001,2023年10月1日現在,人,649563
008,人口,204,人口,000,男女計,001,総人口,32000,島根県,2024001001,2024年10月1日現在,人,642046
008,人口,204,人口,000,男女計,001,総人口,33000,岡山県,2023001001,2023年10月1日現在,人,1846707
008,人口,204,人口,000,男女計,001,総人口,33000,岡山県,2024001001,2024年10月1日現在,人,1831218
008,人口,204,人口,000,男女計,001,総人口,34000,広島県,2023001001,2023年10月1日現在,人,2737848
008,人口,204,人口,000,男女計,001,総人口,34000,広島県,2024001001,2024年10月1日現在,人,2714260
008,人口,204,人口,000,男女計,001,総人口,35000,山口県,2023001001,2023年10月1日現在,人,1297572
008,人口,204,人口,000,男女計,001,総人口,35000,山口県,2024001001,2024年10月1日現在,人,1281217
008,人口,204,人口,000,男女計,001,総人口,36000,徳島県,2023001001,2023年10月1日現在,人,694927
008,人口,204,人口,000,男女計,001,総人口,36000,徳島県,2024001001,2024年10月1日現在,人,685454
008,人口,204,人口,000,男女計,001,総人口,37000,香川県,2023001001,2023年10月1日現在,人,925588
008,人口,204,人口,000,男女計,001,総人口,37000,香川県,2024001001,2024年10月1日現在,人,916945
008,人口,204,人口,000,男女計,001,総人口,38000,愛媛県,2023001001,2023年10月1日現在,人,1291356
008,人口,204,人口,000,男女計,001,総人口,38000,愛媛県,2024001001,2024年10月1日現在,人,1275585
008,人口,204,人口,000,男女計,001,総人口,39000,高知県,2023001001,2023年10月1日現在,人,666422
008,人口,204,人口,000,男女計,001,総人口,39000,高知県,2024001001,2024年10月1日現在,人,656011
008,人口,204,人口,000,男女計,001,総人口,40000,福岡県,2023001001,2023年10月1日現在,人,5102730
008,人口,204,人口,000,男女計,001,総人口,40000,福岡県,2024001001,2024年10月1日現在,人,5091862
008,人口,204,人口,000,男女計,001,総人口,41000,佐賀県,2023001001,2023年10月1日現在,人,794859
008,人口,204,人口,000,男女計,001,総人口,41000,佐賀県,2024001001,2024年10月1日現在,人,788357
008,人口,204,人口,000,男女計,001,総人口,42000,長崎県,2023001001,2023年10月1日現在,人,1267152
008,人口,204,人口,000,男女計,001,総人口,42000,長崎県,2024001001,2024年10月1日現在,人,1251844
008,人口,204,人口,000,男女計,001,総人口,43000,熊本県,2023001001,2023年10月1日現在,人,1708834
008,人口,204,人口,000,男女計,001,総人口,43000,熊本県,2024001001,2024年10月1日現在,人,1697112
008,人口,204,人口,000,男女計,001,総人口,44000,大分県,2023001001,2023年10月1日現在,人,1096299
008,人口,204,人口,000,男女計,001,総人口,44000,大分県,2024001001,2024年10月1日現在,人,1085385
008,人口,204,人口,000,男女計,001,総人口,45000,宮崎県,2023001001,2023年10月1日現在,人,1042223
008,人口,204,人口,000,男女計,001,総人口,45000,宮崎県,2024001001,2024年10月1日現在,人,1032973
008,人口,204,人口,000,男女計,001,総人口,46000,鹿児島県,2023001001,2023年10月1日現在,人,1548744
008,人口,204,人口,000,男女計,001,総人口,46000,鹿児島県,2024001001,2024年10月1日現在,人,1531736
008,人口,204,人口,000,男女計,001,総人口,47000,沖縄県,2023001001,2023年10月1日現在,人,1467963
008,人口,204,人口,000,男女計,001,総人口,47000,沖縄県,2024001001,2024年10月1日現在,人,1466289
008,人口,204,人口,000,男女計,002,日本人人口,00000,全国,2023001001,2023年10月1日現在,人,121193394
008,人口,204,人口,000,男女計,002,日本人人口,00000,全国,2024001001,2024年10月1日現在,人,120295592
008,人口,204,人口,000,男女計,002,日本人人口,01000,北海道,2023001001,2023年10月1日現在,人,5040901
008,人口,204,人口,000,男女計,002,日本人人口,01000,北海道,2024001001,2024年10月1日現在,人,4980299
008,人口,204,人口,000,男女計,002,日本人人口,02000,青森県,2023001001,2023年10月1日現在,人,1177233
008,人口,204,人口,000,男女計,002,日本人人口,02000,青森県,2024001001,2024年10月1日現在,人,1156702
008,人口,204,人口,000,男女計,002,日本人人口,03000,岩手県,2023001001,2023年10月1日現在,人,1153701
008,人口,204,人口,000,男女計,002,日本人人口,03000,岩手県,2024001001,2024年10月1日現在,人,1133895
008,人口,204,人口,000,男女計,002,日本人人口,04000,宮城県,2023001001,2023年10月1日現在,人,2238836
008,人口,204,人口,000,男女計,002,日本人人口,04000,宮城県,2024001001,2024年10月1日現在,人,2219086
008,人口,204,人口,000,男女計,002,日本人人口,05000,秋田県,2023001001,2023年10月1日現在,人,908645
008,人口,204,人口,000,男女計,002,日本人人口,05000,秋田県,2024001001,2024年10月1日現在,人,890927
008,人口,204,人口,000,男女計,002,日本人人口,06000,山形県,2023001001,2023年10月1日現在,人,1017546
008,人口,204,人口,000,男女計,002,日本人人口,06000,山形県,2024001001,2024年10月1日現在,人,1000898
008,人口,204,人口,000,男女計,002,日本人人口,07000,福島県,2023001001,2023年10月1日現在,人,1750586
008,人口,204,人口,000,男女計,002,日本人人口,07000,福島県,2024001001,2024年10月1日現在,人,1724443
008,人口,204,人口,000,男女計,002,日本人人口,08000,茨城県,2023001001,2023年10月1日現在,人,2743592
008,人口,204,人口,000,男女計,002,日本人人口,08000,茨城県,2024001001,2024年10月1日現在,人,2716400
008,人口,204,人口,000,男女計,002,日本人人口,09000,栃木県,2023001001,2023年10月1日現在,人,1847868
008,人口,204,人口,000,男女計,002,日本人人口,09000,栃木県,2024001001,2024年10月1日現在,人,1829713
008,人口,204,人口,000,男女計,002,日本人人口,10000,群馬県,2023001001,2023年10月1日現在,人,1831078
008,人口,204,人口,000,男女計,002,日本人人口,10000,群馬県,2024001001,2024年10月1日現在,人,1810957
008,人口,204,人口,000,男女計,002,日本人人口,11000,埼玉県,2023001001,2023年10月1日現在,人,7112804
008,人口,204,人口,000,男女計,002,日本人人口,11000,埼玉県,2024001001,2024年10月1日現在,人,7083170
008,人口,204,人口,000,男女計,002,日本人人口,12000,千葉県,2023001001,2023年10月1日現在,人,6081437
008,人口,204,人口,000,男女計,002,日本人人口,12000,千葉県,2024001001,2024年10月1日現在,人,6056559
008,人口,204,人口,000,男女計,002,日本人人口,13000,東京都,2023001001,2023年10月1日現在,人,13447933
008,人口,204,人口,000,男女計,002,日本人人口,13000,東京都,2024001001,2024年10月1日現在,人,13463043
008,人口,204,人口,000,男女計,002,日本人人口,14000,神奈川県,2023001001,2023年10月1日現在,人,8969968
008,人口,204,人口,000,男女計,002,日本人人口,14000,神奈川県,2024001001,2024年10月1日現在,人,8941452
008,人口,204,人口,000,男女計,002,日本人人口,15000,新潟県,2023001001,2023年10月1日現在,人,2107348
008,人口,204,人口,000,男女計,002,日本人人口,15000,新潟県,2024001001,2024年10月1日現在,人,2077516
008,人口,204,人口,000,男女計,002,日本人人口,16000,富山県,2023001001,2023年10月1日現在,人,986578
008,人口,204,人口,000,男女計,002,日本人人口,16000,富山県,2024001001,2024年10月1日現在,人,974281
008,人口,204,人口,000,男女計,002,日本人人口,17000,石川県,2023001001,2023年10月1日現在,人,1091178
008,人口,204,人口,000,男女計,002,日本人人口,17000,石川県,2024001001,2024年10月1日現在,人,1078711
008,人口,204,人口,000,男女計,002,日本人人口,18000,福井県,2023001001,2023年10月1日現在,人,729225
008,人口,204,人口,000,男女計,002,日本人人口,18000,福井県,2024001001,2024年10月1日現在,人,720937
008,人口,204,人口,000,男女計,002,日本人人口,19000,山梨県,2023001001,2023年10月1日現在,人,775964
008,人口,204,人口,000,男女計,002,日本人人口,19000,山梨県,2024001001,2024年10月1日現在,人,768578
008,人口,204,人口,000,男女計,002,日本人人口,20000,長野県,2023001001,2023年10月1日現在,人,1965125
008,人口,204,人口,000,男女計,002,日本人人口,20000,長野県,2024001001,2024年10月1日現在,人,1945453
008,人口,204,人口,000,男女計,002,日本人人口,21000,岐阜県,2023001001,2023年10月1日現在,人,1867692
008,人口,204,人口,000,男女計,002,日本人人口,21000,岐阜県,2024001001,2024年10月1日現在,人,1845914
008,人口,204,人口,000,男女計,002,日本人人口,22000,静岡県,2023001001,2023年10月1日現在,人,3449330
008,人口,204,人口,000,男女計,002,日本人人口,22000,静岡県,2024001001,2024年10月1日現在,人,3411451
008,人口,204,人口,000,男女計,002,日本人人口,23000,愛知県,2023001001,2023年10月1日現在,人,7194808
008,人口,204,人口,000,男女計,002,日本人人口,23000,愛知県,2024001001,2024年10月1日現在,人,7159810
008,人口,204,人口,000,男女計,002,日本人人口,24000,三重県,2023001001,2023年10月1日現在,人,1669440
008,人口,204,人口,000,男女計,002,日本人人口,24000,三重県,2024001001,2024年10月1日現在,人,1649006
008,人口,204,人口,000,男女計,002,日本人人口,25000,滋賀県,2023001001,2023年10月1日現在,人,1367324
008,人口,204,人口,000,男女計,002,日本人人口,25000,滋賀県,2024001001,2024年10月1日現在,人,1360395
008,人口,204,人口,000,男女計,002,日本人人口,26000,京都府,2023001001,2023年10月1日現在,人,2464625
008,人口,204,人口,000,男女計,002,日本人人口,26000,京都府,2024001001,2024年10月1日現在,人,2441036
008,人口,204,人口,000,男女計,002,日本人人口,27000,大阪府,2023001001,2023年10月1日現在,人,8488037
008,人口,204,人口,000,男女計,002,日本人人口,27000,大阪府,2024001001,2024年10月1日現在,人,8453107
008,人口,204,人口,000,男女計,002,日本人人口,28000,兵庫県,2023001001,2023年10月1日現在,人,5247352
008,人口,204,人口,000,男女計,002,日本人人口,28000,兵庫県,2024001001,2024年10月1日現在,人,5204086
008,人口,204,人口,000,男女計,002,日本人人口,29000,奈良県,2023001001,2023年10月1日現在,人,1279344
008,人口,204,人口,000,男女計,002,日本人人口,29000,奈良県,2024001001,2024年10月1日現在,人,1266940
008,人口,204,人口,000,男女計,002,日本人人口,30000,和歌山県,2023001001,2023年10月1日現在,人,883668
008,人口,204,人口,000,男女計,002,日本人人口,30000,和歌山県,2024001001,2024年10月1日現在,人,870511
008,人口,204,人口,000,男女計,002,日本人人口,31000,鳥取県,2023001001,2023年10月1日現在,人,531998
008,人口,204,人口,000,男女計,002,日本人人口,31000,鳥取県,2024001001,2024年10月1日現在,人,525146
008,人口,204,人口,000,男女計,002,日本人人口,32000,島根県,2023001001,2023年10月1日現在,人,639565
008,人口,204,人口,000,男女計,002,日本人人口,32000,島根県,2024001001,2024年10月1日現在,人,630810
