表章項目_code,表章項目,出生児数・死亡者数_code,出生児数・死亡者数,男女別_code,男女別,日本人・外国人_code,日本人・外国人,全国・都道府県_code,全国・都道府県,時間軸（年間）_code,時間軸（年間）,unit,value
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,00000,全国,2023001011,2023年10月～2024年9月,人,695391
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,01000,北海道,2023001011,2023年10月～2024年9月,人,23077
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,02000,青森県,2023001011,2023年10月～2024年9月,人,5203
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,03000,岩手県,2023001011,2023年10月～2024年9月,人,5001
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,04000,宮城県,2023001011,2023年10月～2024年9月,人,11535
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,05000,秋田県,2023001011,2023年10月～2024年9月,人,3357
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,06000,山形県,2023001011,2023年10月～2024年9月,人,4772
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,07000,福島県,2023001011,2023年10月～2024年9月,人,8499
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,08000,茨城県,2023001011,2023年10月～2024年9月,人,14244
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,09000,栃木県,2023001011,2023年10月～2024年9月,人,9512
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,10000,群馬県,2023001011,2023年10月～2024年9月,人,9417
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,11000,埼玉県,2023001011,2023年10月～2024年9月,人,40431
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,12000,千葉県,2023001011,2023年10月～2024年9月,人,34255
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,13000,東京都,2023001011,2023年10月～2024年9月,人,84535
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,14000,神奈川県,2023001011,2023年10月～2024年9月,人,52330
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,15000,新潟県,2023001011,2023年10月～2024年9月,人,10108
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,16000,富山県,2023001011,2023年10月～2024年9月,人,5142
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,17000,石川県,2023001011,2023年10月～2024年9月,人,6172
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,18000,福井県,2023001011,2023年10月～2024年9月,人,4441
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,19000,山梨県,2023001011,2023年10月～2024年9月,人,4296
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,20000,長野県,2023001011,2023年10月～2024年9月,人,10668
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,21000,岐阜県,2023001011,2023年10月～2024年9月,人,9987
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,22000,静岡県,2023001011,2023年10月～2024年9月,人,17981
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,23000,愛知県,2023001011,2023年10月～2024年9月,人,45981
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,24000,三重県,2023001011,2023年10月～2024年9月,人,8955
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,25000,滋賀県,2023001011,2023年10月～2024年9月,人,8957
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,26000,京都府,2023001011,2023年10月～2024年9月,人,13086
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,27000,大阪府,2023001011,2023年10月～2024年9月,人,54018
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,28000,兵庫県,2023001011,2023年10月～2024年9月,人,30976
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,29000,奈良県,2023001011,2023年10月～2024年9月,人,6725
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,30000,和歌山県,2023001011,2023年10月～2024年9月,人,4592
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,31000,鳥取県,2023001011,2023年10月～2024年9月,人,3103
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,32000,島根県,2023001011,2023年10月～2024年9月,人,3655
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,33000,岡山県,2023001011,2023年10月～2024年9月,人,10973
