単位_db_code,単位_db,表頭_集計項目_db_code,表頭_集計項目_db,表側_集計項目_db_code,表側_集計項目_db,都道府県_code,都道府県,時間軸_db_code,時間軸_db,unit,value
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2022000000,2022年,,148775
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023000000,2023年,,148667
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000000,2024年,,147827
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2021100000,2021年度,,151468
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2022100000,2022年度,,148484
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023100000,2023年度,,150012
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001012,2023年10～12月,,38466
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000103,2024年1～3月,,39933
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000406,2024年4～6月,,35400
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000709,2024年7～9月,,36154
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001012,2024年10～12月,,36340
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001111,2023年11月,,11899
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001212,2023年12月,,14684
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000101,2024年1月,,12570
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000202,2024年2月,,11335
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000303,2024年3月,,16028
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000404,2024年4月,,12211
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000505,2024年5月,,11275
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000606,2024年6月,,11914
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000707,2024年7月,,12549
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000808,2024年8月,,12092
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000909,2024年9月,,11513
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001010,2024年10月,,10240
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001111,2024年11月,,11703
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001212,2024年12月,,14397
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2025000101,2025年1月,,13367
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2022000000,2022年,,28446
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023000000,2023年,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000000,2024年,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2021100000,2021年度,,29024
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2022100000,2022年度,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023100000,2023年度,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001012,2023年10～12月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000103,2024年1～3月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000406,2024年4～6月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000709,2024年7～9月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001012,2024年10～12月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001111,2023年11月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001212,2023年12月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000101,2024年1月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000202,2024年2月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000303,2024年3月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000404,2024年4月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000505,2024年5月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000606,2024年6月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000707,2024年7月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000808,2024年8月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000909,2024年9月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001010,2024年10月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001111,2024年11月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001212,2024年12月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2025000101,2025年1月,,X
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2022000000,2022年,,28128
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023000000,2023年,,27374
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000000,2024年,,26472
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2021100000,2021年度,,28790
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2022100000,2022年度,,27900
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023100000,2023年度,,27384
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023001012,2023年10～12月,,7069
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000103,2024年1～3月,,7381
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000406,2024年4～6月,,5945
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000709,2024年7～9月,,6733
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024001012,2024年10～12月,,6413
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023001111,2023年11月,,2215
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023001212,2023年12月,,2684
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000101,2024年1月,,2695
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000202,2024年2月,,2017
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000303,2024年3月,,2669
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000404,2024年4月,,1875
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000505,2024年5月,,1875
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000606,2024年6月,,2195
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000707,2024年7月,,2377
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000808,2024年8月,,2321
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000909,2024年9月,,2035
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024001010,2024年10月,,1777
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024001111,2024年11月,,2026
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024001212,2024年12月,,2610
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2025000101,2025年1月,,2734
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2022000000,2022年,,73488
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2023000000,2023年,,73530
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000000,2024年,,73444
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2021100000,2021年度,,73003
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2022100000,2022年度,,73299
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2023100000,2023年度,,74032
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2023001012,2023年10～12月,,18381
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000103,2024年1～3月,,20712
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000406,2024年4～6月,,16666
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000709,2024年7～9月,,18210
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024001012,2024年10～12月,,17856
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2023001111,2023年11月,,5915
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2023001212,2023年12月,,7020
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000101,2024年1月,,8243
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000202,2024年2月,,5382
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000303,2024年3月,,7087
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000404,2024年4月,,5285
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000505,2024年5月,,5269
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000606,2024年6月,,6112
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000707,2024年7月,,6451
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000808,2024年8月,,6094
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000909,2024年9月,,5665
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024001010,2024年10月,,4978
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024001111,2024年11月,,5828
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024001212,2024年12月,,7050
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2025000101,2025年1月,,8903
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2022000000,2022年,,23498
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2023000000,2023年,,23029
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000000,2024年,,21709
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2021100000,2021年度,,23823
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2022100000,2022年度,,23491
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2023100000,2023年度,,22746
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2023001012,2023年10～12月,,5780
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000103,2024年1～3月,,5830
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000406,2024年4～6月,,4947
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000709,2024年7～9月,,5552
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024001012,2024年10～12月,,5380
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2023001111,2023年11月,,1785
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2023001212,2023年12月,,2147
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000101,2024年1月,,2064
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000202,2024年2月,,1611
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000303,2024年3月,,2155
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000404,2024年4月,,1588
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000505,2024年5月,,1547
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000606,2024年6月,,1812
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000707,2024年7月,,1960
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000808,2024年8月,,1931
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024000909,2024年9月,,1661
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024001010,2024年10月,,1529
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024001111,2024年11月,,1733
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2024001212,2024年12月,,2118
0101300,百万円,01040110,販売額等,01030100,販売額等,05000,秋田県,2025000101,2025年1月,,2171
0101300,百万円,01040110,販売額等,01030100,販売額等,06000,山形県,2022000000,2022年,,23263
