表章項目_code,表章項目,調査項目_code,調査項目,全体_code,全体,国籍_code,国籍,時間軸（四半期）_code,時間軸（四半期）,unit,value
100,回答数,100,全体,00100,全体,00000,全体,2017000709,2017年7～9月期,人,8369
100,回答数,100,全体,00100,全体,00000,全体,2017000406,2017年4～6月期,人,8381
100,回答数,100,全体,00100,全体,00000,全体,2017000103,2017年1～3月期,人,8398
100,回答数,100,全体,00100,全体,00000,全体,2016001012,2016年10～12月期,人,8432
100,回答数,100,全体,00100,全体,00000,全体,2016000709,2016年7～9月期,人,8380
100,回答数,100,全体,00100,全体,00000,全体,2016000406,2016年4～6月期,人,8394
100,回答数,100,全体,00100,全体,00000,全体,2016000103,2016年1～3月期,人,8369
100,回答数,100,全体,00100,全体,00000,全体,2015001012,2015年10～12月期,人,8261
100,回答数,100,全体,00100,全体,00100,韓国,2017000709,2017年7～9月期,人,3576
100,回答数,100,全体,00100,全体,00100,韓国,2017000406,2017年4～6月期,人,3499
100,回答数,100,全体,00100,全体,00100,韓国,2017000103,2017年1～3月期,人,3472
100,回答数,100,全体,00100,全体,00100,韓国,2016001012,2016年10～12月期,人,3434
100,回答数,100,全体,00100,全体,00100,韓国,2016000709,2016年7～9月期,人,3394
100,回答数,100,全体,00100,全体,00100,韓国,2016000406,2016年4～6月期,人,3407
100,回答数,100,全体,00100,全体,00100,韓国,2016000103,2016年1～3月期,人,3450
100,回答数,100,全体,00100,全体,00100,韓国,2015001012,2015年10～12月期,人,3368
100,回答数,100,全体,00100,全体,00110,台湾,2017000709,2017年7～9月期,人,949
100,回答数,100,全体,00100,全体,00110,台湾,2017000406,2017年4～6月期,人,943
100,回答数,100,全体,00100,全体,00110,台湾,2017000103,2017年1～3月期,人,934
100,回答数,100,全体,00100,全体,00110,台湾,2016001012,2016年10～12月期,人,962
100,回答数,100,全体,00100,全体,00110,台湾,2016000709,2016年7～9月期,人,932
100,回答数,100,全体,00100,全体,00110,台湾,2016000406,2016年4～6月期,人,992
100,回答数,100,全体,00100,全体,00110,台湾,2016000103,2016年1～3月期,人,959
100,回答数,100,全体,00100,全体,00110,台湾,2015001012,2015年10～12月期,人,944
100,回答数,100,全体,00100,全体,00120,香港,2017000709,2017年7～9月期,人,225
100,回答数,100,全体,00100,全体,00120,香港,2017000406,2017年4～6月期,人,216
100,回答数,100,全体,00100,全体,00120,香港,2017000103,2017年1～3月期,人,234
100,回答数,100,全体,00100,全体,00120,香港,2016001012,2016年10～12月期,人,236
100,回答数,100,全体,00100,全体,00120,香港,2016000709,2016年7～9月期,人,224
100,回答数,100,全体,00100,全体,00120,香港,2016000406,2016年4～6月期,人,231
100,回答数,100,全体,00100,全体,00120,香港,2016000103,2016年1～3月期,人,226
100,回答数,100,全体,00100,全体,00120,香港,2015001012,2015年10～12月期,人,213
100,回答数,100,全体,00100,全体,00130,中国,2017000709,2017年7～9月期,人,1285
100,回答数,100,全体,00100,全体,00130,中国,2017000406,2017年4～6月期,人,1282
100,回答数,100,全体,00100,全体,00130,中国,2017000103,2017年1～3月期,人,1327
100,回答数,100,全体,00100,全体,00130,中国,2016001012,2016年10～12月期,人,1336
100,回答数,100,全体,00100,全体,00130,中国,2016000709,2016年7～9月期,人,1302
100,回答数,100,全体,00100,全体,00130,中国,2016000406,2016年4～6月期,人,1355
100,回答数,100,全体,00100,全体,00130,中国,2016000103,2016年1～3月期,人,1359
100,回答数,100,全体,00100,全体,00130,中国,2015001012,2015年10～12月期,人,1349
100,回答数,100,全体,00100,全体,00140,タイ,2017000709,2017年7～9月期,人,170
100,回答数,100,全体,00100,全体,00140,タイ,2017000406,2017年4～6月期,人,179
100,回答数,100,全体,00100,全体,00140,タイ,2017000103,2017年1～3月期,人,179
100,回答数,100,全体,00100,全体,00140,タイ,2016001012,2016年10～12月期,人,193
100,回答数,100,全体,00100,全体,00140,タイ,2016000709,2016年7～9月期,人,184
100,回答数,100,全体,00100,全体,00140,タイ,2016000406,2016年4～6月期,人,175
100,回答数,100,全体,00100,全体,00140,タイ,2016000103,2016年1～3月期,人,176
100,回答数,100,全体,00100,全体,00140,タイ,2015001012,2015年10～12月期,人,168
100,回答数,100,全体,00100,全体,00150,シンガポール,2017000709,2017年7～9月期,人,61
100,回答数,100,全体,00100,全体,00150,シンガポール,2017000406,2017年4～6月期,人,66
100,回答数,100,全体,00100,全体,00150,シンガポール,2017000103,2017年1～3月期,人,73
100,回答数,100,全体,00100,全体,00150,シンガポール,2016001012,2016年10～12月期,人,73
100,回答数,100,全体,00100,全体,00150,シンガポール,2016000709,2016年7～9月期,人,71
100,回答数,100,全体,00100,全体,00150,シンガポール,2016000406,2016年4～6月期,人,74
100,回答数,100,全体,00100,全体,00150,シンガポール,2016000103,2016年1～3月期,人,72
100,回答数,100,全体,00100,全体,00150,シンガポール,2015001012,2015年10～12月期,人,66
100,回答数,100,全体,00100,全体,00160,マレーシア,2017000709,2017年7～9月期,人,221
100,回答数,100,全体,00100,全体,00160,マレーシア,2017000406,2017年4～6月期,人,215
100,回答数,100,全体,00100,全体,00160,マレーシア,2017000103,2017年1～3月期,人,208
100,回答数,100,全体,00100,全体,00160,マレーシア,2016001012,2016年10～12月期,人,222
100,回答数,100,全体,00100,全体,00160,マレーシア,2016000709,2016年7～9月期,人,211
100,回答数,100,全体,00100,全体,00160,マレーシア,2016000406,2016年4～6月期,人,211
100,回答数,100,全体,00100,全体,00160,マレーシア,2016000103,2016年1～3月期,人,204
100,回答数,100,全体,00100,全体,00160,マレーシア,2015001012,2015年10～12月期,人,212
100,回答数,100,全体,00100,全体,00170,インドネシア,2017000709,2017年7～9月期,人,120
100,回答数,100,全体,00100,全体,00170,インドネシア,2017000406,2017年4～6月期,人,129
100,回答数,100,全体,00100,全体,00170,インドネシア,2017000103,2017年1～3月期,人,137
100,回答数,100,全体,00100,全体,00170,インドネシア,2016001012,2016年10～12月期,人,125
100,回答数,100,全体,00100,全体,00170,インドネシア,2016000709,2016年7～9月期,人,124
100,回答数,100,全体,00100,全体,00170,インドネシア,2016000406,2016年4～6月期,人,122
100,回答数,100,全体,00100,全体,00170,インドネシア,2016000103,2016年1～3月期,人,110
100,回答数,100,全体,00100,全体,00170,インドネシア,2015001012,2015年10～12月期,人,129
100,回答数,100,全体,00100,全体,00180,フィリピン,2017000709,2017年7～9月期,人,145
100,回答数,100,全体,00100,全体,00180,フィリピン,2017000406,2017年4～6月期,人,157
100,回答数,100,全体,00100,全体,00180,フィリピン,2017000103,2017年1～3月期,人,146
